what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425983459635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425983723760
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425983888463
activated,view,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui.view.runTest",1425983895754
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425983913589
activated,view,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui.view.runTest",1425983914409
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425983914504
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425983936229
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425983944178
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425983977437
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425983984348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425983991609
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425983992449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425983997875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425984000350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425984024268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425984039733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1425984062197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425984080053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425984085132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984094174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984179466
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425984183356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984186705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1425984186727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984190658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984193944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984196997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425984198790
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1425984199741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425984203210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984221147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984223700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984226528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984227624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984228156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425984229628
